"","X.4","X.3","X.2","X.1","X","SampleNo","NACount","NAcountno2","row","PlateNo","WellNo","SampleNo.1","match","Year","Month","Day","State","nearestCity","countryCode","Pop","Lat","Long","BoxID","latitude","longitude","flyway","flyway2","Genetic_Group","Genetic_Group2","yearSampled","monthSampled","daySampled","julianDaySampled","Transmitter","bandNumber","bandmatch","generalSampleType","newOrRecap","observerName","aliveOrDead","nestlingAge","laydateForAnalysis","howLaydateEstimated","sexBird","phaseFAC","stateProv","hallux","tarsus","tail","wing","fatScore","billDepth","culmen","mass","subterminal","cropScore","CG10_top1","CG11_phlpp1","CG12_peak1","CG13_szt2","CG14_cry1","CG15_cpne4","CG2_clock","CG3_nacc2","CG4_cpne4","CG5_scn5a","CG6_lmbr1","CG7_htr2c","CG8_npas2","CG9_npas2","lfmm1","lfmm10","lfmm12","lfmm13","lfmm14","lfmm15","lfmm2","lfmm3","lfmm4","lfmm5","lfmm6","lfmm7","lfmm8","lfmm9","lfmm11","CG1_mybbp1a","D1_80perc","D2__80perc","D3__80perc","D4__80perc","wc2.0_bio_30s_14","wc2.0_bio_30s_13","wc2.0_bio_30s_04","Latcat1","amke_CG10_top1_A","amke_CG11_phlpp1_C","amke_CG12_peak1_T","amke_CG13_szt2_A","amke_CG14_cry1_C","amke_CG15_cpne4_A","amke_CG2_clock_C","amke_CG3_nacc2_G","amke_CG4_cpne4_C","amke_CG5_scn5a_C","amke_CG6_lmbr1_C","amke_CG7_htr2c_T","amke_CG8_npas2_T","amke_CG9_npas2_T","amke_lfmm1_G","amke_lfmm10_A","amke_lfmm12_C","amke_lfmm13_T","amke_lfmm14_G","amke_lfmm15_T","amke_lfmm2_A","amke_lfmm3_T","amke_lfmm4_G","amke_lfmm5_G","amke_lfmm6_A","amke_lfmm7_A","amke_lfmm8_T","amke_lfmm9_T","amke_lfmm11","amke_CG1_mybbp1a_G","D1","D2","D3","D4"
"11",11,11,11,1001,1001,"17N02652",0,0,975,"5","G6","17N02652",FALSE,2017,"JUL",20,"AB","AB1","CAN",1,56.117222,-117.351389,NA,56.117222,-117.351389,"west","west","west","west",2017,"JUL",20,201,0,"178337416",FALSE,"Feathers","New","Mitchell Warne","Live",17,144,"Based on nestling age","Unknown","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,0,0,0,0,0,0,1,2,0,0,2,2,1,0,1,1,0,0,0,2,0,2,0,1,0,2,0.969168409,-0.665406254,0.858919746,-0.087414091,14,67,1201.687175,"(43.7,67.6]",2,1,2,0,0,0,0,0,0,0,1,2,0,0,2,2,1,0,1,1,0,0,0,2,0,2,0,1,0,2,1.17327829815383,-0.538205138238333,0.781937635353515,-0.60080945182686
"12",12,12,12,1011,1011,"18N00362",0,0,104,"AMKE_B1","A10","18N00362",FALSE,2018,"JUN",6,"AB","AB1","CAN",1,56.11982,-117.33726,"AB93",56.11982,-117.33726,"west","west","west","west",2018,"JUN",6,157,0,"AB93F",FALSE,"Feathers","New","Jesse Watson","Live",NA,147,"Based on day full clutch found (Banding date). No hatch or nestling data available","Female","Breeding","AB","10.46","33.85","126","199","1","8.44","11.47","117",NA,"0",0,0,0,0,0,0,1,0,0,1,2,0,1,0,2,0,2,0,1,1,1,0,0,0,0,1,0,1,0,0,-0.830775632,-0.052355852,0.261845659,-1.882666309,14,67,1207.067181,"(43.7,67.6]",0,0,0,0,0,0,1,0,0,1,2,0,1,0,2,0,2,0,1,1,1,0,0,0,0,1,0,1,0,0,-1.15230083976533,2.77849901936246,1.00340204517176,-2.4644256582117
"13",13,13,13,999,999,"17N02651",0,0,974,"5","G5","17N02651",FALSE,2017,"JUL",18,"AB","AB1","CAN",1,56.123333,-117.351944,NA,56.123333,-117.351944,"west","west","west","west",2017,"JUL",18,199,0,"178337413",FALSE,"Feathers","New","Mitchell Warne","Live",27,132,"Based on nestling age","Female","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,1,0,0,0,0,0,0,2,0,2,1,2,1,1,2,0,1,2,0,2,0,1,2,1,0,1,1.059519427,1.145279494,-0.578516522,0.72658728,14,67,1201.687175,"(43.7,67.6]",2,0,2,0,1,0,0,0,0,0,0,2,0,2,1,2,1,1,2,0,1,2,0,2,0,1,2,1,0,1,1.59586959018993,0.348281847906806,-0.427319140752068,1.32806231960606
"14",14,14,14,1007,1007,"18N00364",0,0,102,"AMKE_B1","A8","18N00364",FALSE,2018,"JUN",6,"AB","AB1","CAN",1,56.12335,-117.34516,"AB95",56.12335,-117.34516,"west","west","west","west",2018,"JUN",6,157,0,"AB95M",FALSE,"Feathers","New","Jesse Watson","Live",NA,147,"Based on day full clutch found (Banding date). No hatch or nestling data available","Male","Breeding","AB","9.9","33","189","189","2","9.02","12.06","126","27","0",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,2,1,0,1,0,2,1,0,0,2,0,-1.54225676,-0.092403001,-0.364204639,-0.305519681,14,67,1203.272676,"(43.7,67.6]",0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,2,1,0,1,0,2,1,0,0,2,0,-1.25777106388298,0.0811694896962404,-1.88627020843173,-0.294657537222106
"15",15,15,15,1012,1012,"17N02646",0,0,969,"5","F12","17N02646",FALSE,2017,"JUL",7,"AB","AB1","CAN",1,56.124167,-117.328889,NA,56.124167,-117.328889,"west","west","west","west",2017,"JUL",7,188,0,"183310391",FALSE,"Feathers","New","Mitchell Warne","Live",21,127,"Based on nestling age","Male","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,1,0,0,0,1,1,0,0,2,1,0,1,1,0,0,1,2,1,0,1,1,1,2,2,1,0,0,0.732045776,-0.715742738,-0.23641912,1.562981256,15,68,1210.785105,"(43.7,67.6]",2,0,1,1,0,0,0,1,1,0,0,2,1,0,1,1,0,0,1,2,1,0,1,1,1,2,2,1,0,0,0.591053688709798,-0.843365945503937,-1.23065031705716,0.784271331294842
"16",16,16,16,1010,1010,"17N02644",0,0,967,"5","F10","17N02644",FALSE,2017,"JUL",6,"AB","AB1","CAN",1,56.126111,-117.341944,NA,56.126111,-117.341944,"west","west","west","west",2017,"JUL",6,187,0,"183310381",FALSE,"Feathers","New","Mitchell Warne","Live",25,122,"Based on nestling age","Female","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,2,2,2,1,2,0,0.928339768,-1.307454424,-1.160541938,-0.836897797,14,67,1200.88311,"(43.7,67.6]",2,0,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,2,2,2,1,2,0,1.53717064359492,-0.156678042428612,-3.4015658476932,0.429822186564769
"17",17,17,17,1000,1000,"18N00363",0,0,103,"AMKE_B1","A9","18N00363",FALSE,2018,"JUN",6,"AB","AB1","CAN",1,56.12774,-117.35152,"AB94",56.12774,-117.35152,"west","west","west","west",2018,"JUN",6,157,0,"AB94F",FALSE,"Feathers","New","Anjolene Hunt","Live",NA,147,"Based on day full clutch found (Banding date). No hatch or nestling data available","Female","Breeding","AB","9.91","35.74","130","194","1","9.09","12.74","129",NA,"0",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,2,0,1,0,1,0,0,0.120307001,-0.163355367,1.549893023,1.023011422,15,67,1205.222453,"(43.7,67.6]",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,2,0,1,0,1,0,0,-0.446163644175709,0.323301493996059,1.10441658198453,0.577000462935455
"18",18,18,18,1013,1013,"18N00365",0,0,101,"AMKE_B1","A7","18N00365",FALSE,2018,"JUN",6,"AB","AB1","CAN",1,56.12851,-117.32793,"AB96",56.12851,-117.32793,"west","west","west","west",2018,"JUN",6,157,0,"AB96F",FALSE,"Feathers","New","Jesse Watson","Live",NA,147,"Based on day full clutch found (Banding date). No hatch or nestling data available","Female","Breeding","AB","10.59","35.33","117","189","1","8.46","12.36","132",NA,"0",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,2,2,0,1,2,1,0,1,0.059109482,0.265517956,0.268200642,1.11587647,14,67,1207.825491,"(43.7,67.6]",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,2,2,0,1,2,1,0,1,-0.466876202019774,-0.314440218802362,1.07566329869493,0.911634519607876
"19",19,19,19,1004,1004,"17N02648",0,0,971,"5","G2","17N02648",FALSE,2017,"JUL",7,"AB","AB1","CAN",1,56.129444,-117.35,NA,56.129444,-117.35,"west","west","west","west",2017,"JUL",7,188,0,"183310400",FALSE,"Feathers","New","Mitchell Warne","Live",21,127,"Based on nestling age","Male","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,1,0,0,0,0,0,1,2,0,1,2,1,1,0,0,1,2,1,0,2,0,1,2,0,0,0,1.224643235,1.193135049,-1.184778211,-0.217699112,14,67,1200.88311,"(43.7,67.6]",2,0,1,0,1,0,0,0,0,0,1,2,0,1,2,1,1,0,0,1,2,1,0,2,0,1,2,0,0,0,0.849606574967349,1.05468816136792,-0.308523250689934,0.92097533906386
"20",20,20,20,1021,1021,"17N02650",0,0,973,"5","G4","17N02650",FALSE,2017,"JUL",18,"AB","AB1","CAN",1,56.177778,-117.271667,NA,56.177778,-117.271667,"west","west","west","west",2017,"JUL",18,199,0,"178337410",FALSE,"Feathers","New","Mitchell Warne","Live",26,133,"Based on nestling age","Female","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,2,1,2,2,1,2,2,1,0,2,0,0,1.101827872,0.657941731,-0.238579259,0.931204387,15,66,1190.848548,"(43.7,67.6]",2,0,2,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,2,1,2,2,1,2,2,1,0,2,0,0,1.53497777105755,-0.0448396766677632,1.02363449291545,0.439160681174295
"21",21,21,21,1020,1020,"17N02643",0,0,966,"5","F9","17N02643",FALSE,2017,"JUL",6,"AB","AB1","CAN",1,56.18944,-117.285,NA,56.18944,-117.285,"west","west","west","west",2017,"JUL",6,187,0,"183310377",FALSE,"Feathers","New","Mitchell Warne","Live",24,123,"Based on nestling age","Female","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,1,0,1,1,0,0,0,0,2,1,0,2,1,1,1,1,2,0,1,1,2,0,0,2,2,0,1,1.387996559,-0.684683339,0.605765983,0.304613151,14,65,1198.401323,"(43.7,67.6]",2,0,1,1,0,1,1,0,0,0,0,2,1,0,2,1,1,1,1,2,0,1,1,2,0,0,2,2,0,1,0.785658012058472,-0.428236675243084,0.978971754977206,0.799518891754941
"22",22,22,22,994,994,"18N00360",0,0,106,"AMKE_B1","A12","18N00360",FALSE,2018,"JUN",7,"AB","AB1","CAN",1,56.47673,-117.67383,"AB78",56.47673,-117.67383,"west","west","west","west",2018,"JUN",7,158,0,"AB78M",FALSE,"Feathers","New","Anjolene Hunt","Live",NA,148,"Based on day full clutch found (Banding date). No hatch or nestling data available","Male","Breeding","AB","9.66","35.84","110","185","1","9.85","11.67","122","14","0",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,2,0,1,1,-1.016257397,-0.827400409,-1.849595019,0.328171386,17,75,1177.3612,"(43.7,67.6]",0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,1,1,2,0,1,1,-1.17654867006722,0.793570791045824,-0.257025073736934,1.39430715647295
"23",23,23,23,995,995,"17N02653",2,2,976,"5","G7","17N02653",FALSE,2017,"JUL",26,"AB","AB1","CAN",1,56.573611,-117.669444,NA,56.573611,-117.669444,"west","west","west","west",2017,"JUL",26,207,0,"178337417",FALSE,"Feathers","New","Mitchell Warne","Live",19,148,"Based on nestling age","Male","Nestling","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,0,0,0,1,0,1,0,2,0,0,2,NA,1,1,1,0,1,0,1,2,0,NA,1,1,0,0,0.957961416,-0.921620685,1.884975851,0.059985525,19,76,1179.842294,"(43.7,67.6]",2,1,1,2,0,0,0,1,0,1,0,2,0,0,2,NA,1,1,1,0,1,0,1,2,0,NA,1,1,0,0,0.615937970913085,0.325912195913226,-1.58416706633401,-0.648181368530009
"24",24,24,24,998,998,"18N00373",0,0,107,"AMKE_B1","B1","18N00373",FALSE,2018,"JUN",7,"AB","AB1","CAN",1,56.68088,-117.51482,"AB74",56.68088,-117.51482,"west","west","west","west",2018,"JUN",7,158,1,"TRANS_174019",FALSE,"Feathers","New","Anjolene Hunt","Live",NA,148,"Based on day full clutch found (Banding date). No hatch or nestling data available","Female","Breeding","AB","10.21","35.3",NA,NA,"1","9.47","13.9","137",NA,"1",0,0,2,0,2,0,1,0,0,0,0,1,0,1,0,1,1,0,0,2,1,0,1,2,0,2,2,1,0,1,-0.100220398,1.744216083,1.088835351,-0.375178705,17,76,1144.437782,"(43.7,67.6]",0,0,2,0,2,0,1,0,0,0,0,1,0,1,0,1,1,0,0,2,1,0,1,2,0,2,2,1,0,1,0.343335333230595,0.462078027504441,-0.330626575247292,1.44017732147884
"25",25,25,25,996,996,"18N00361",0,0,105,"AMKE_B1","A11","18N00361",FALSE,2018,"JUN",7,"AB","AB1","CAN",1,56.90789,-117.54442,"AB79",56.90789,-117.54442,"west","west","west","west",2018,"JUN",7,158,0,"AB79F",FALSE,"Feathers","New","Anjolene Hunt","Live",NA,148,"Based on day full clutch found (Banding date). No hatch or nestling data available","Female","Breeding","AB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,2,1,0,2,1,1,0,2,2,0,2,2,0,0,-0.996214473,0.363644631,-0.792480798,-0.087621766,18,79,1283.435474,"(43.7,67.6]",0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,2,1,0,2,1,1,0,2,2,0,2,2,0,0,-1.0631667405343,0.496298759957093,0.32335186360264,-0.279409976762007
"26",26,26,26,762,762,"18N00282",0,0,108,"AMKE_B1","B2","18N00282",FALSE,2018,"JUN",28,"AK","AK2","USA",2,63.909,-145.787,NA,63.909,-145.787,"west","west","AK","west",2018,"JUN",28,179,0,"183359403",FALSE,"Feathers","New","Anjolene Hunt","Live",NA,NA,NA,"Female","Breeding","AK","10.2","34.65","117","186","1","8.8","12.7","119",NA,"0",0,1,0,0,0,2,0,1,0,1,1,0,0,1,0,1,1,0,1,2,1,1,0,0,0,0,2,1,2,0,-1.416980497,0.64341629,0.188498065,-1.539574907,6,65,1333.512879,"(43.7,67.6]",0,1,0,0,0,2,0,1,0,1,1,0,0,1,0,1,1,0,1,2,1,1,0,0,0,0,2,1,2,0,-1.40716053034498,1.15459813762756,-1.36921026138063,-0.942294742243767
"27",27,27,27,764,764,"17N02287",0,0,962,"4","E7","17N02287",FALSE,2017,"JUL",9,"AK","Delta Junction","USA",2,63.92828,-145.15118,"",63.92828,-145.15118,"west","west","AK","west",2017,"JUL",9,190,0,"152392456",NA,"Blood","New","Ted Swem","",18,132,"","Male","Nestling","AK","","","","","","","","","","",2,1,2,0,1,1,0,0,1,0,0,2,1,1,1,1,0,0,2,1,1,0,0,0,1,2,1,1,0,1,0.342640271,-1.353978585,-1.754389419,1.452599735,6,57,1415.728746,"(43.7,67.6]",2,1,2,0,1,1,0,0,1,0,0,2,1,1,1,1,0,0,2,1,1,0,0,0,1,2,1,1,0,1,1.03951592491206,-2.16393932240367,-1.56247814763783,0.32857039307584
"28",28,28,28,763,763,"17N02288",0,0,963,"4","E8","17N02288",FALSE,2017,"JUL",9,"AK","Delta Junction","USA",2,63.93905,-145.23485,"",63.93905,-145.23485,"west","west","AK","west",2017,"JUL",9,190,0,"152392451",NA,"Blood","New","Ted Swem","",12,138,"","Female","Nestling","AK","","","","","","","","","","",2,1,1,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,2,1,2,0,1,1,2,1,1,0,1,1,0.919899836,-2.259418682,0.958803448,0.161547805,5,58,1407.600313,"(43.7,67.6]",2,1,1,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,2,1,2,0,1,1,2,1,1,0,1,1,0.462326911066382,-0.735922023253248,0.631322835994082,-0.142274163468209
"29",29,29,29,767,767,"16N0977",0,0,853,"JAN2019_UCLACLIPS","A7","16N0977",FALSE,2016,"MAY",29,"AK","Delta Junction","USA",2,63.947872,-145.106769,NA,63.947872,-145.106769,"west","west","AK","west",2016,"MAY",29,149,0,"159331290",FALSE,"Feathers",NA,"Ted Swem","Live",NA,NA,NA,"Male","Breeding","AK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,2,0,1,1,0,2,0,1,0,-0.215955868,1.052813687,-1.503409001,1.310238284,5,56,1433.868469,"(43.7,67.6]",0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,2,0,1,1,0,2,0,1,0,-0.469883076770796,0.199482907640256,-0.403955252016003,1.62335394379969
